province,district,market,latitude,longitude,price,cereals and tubers,miscellaneous food,non-food,pulses and nuts,vegetables and fruits,"meat, fish and eggs",oil and fats,KG,L,Unit,750 ML,Rice (red nadu),Wheat flour,Rice (white),Sugar,Rice (long grain),Fuel (diesel),Fuel (petrol-gasoline),Potatoes (imported),Potatoes (local),"Chili (red, dry raw)",Beans,Cabbage,Carrots,Coconut,Eggplants,"Onions (red, imported)","Onions (red, local)",Pumpkin,Snake gourd,Tomatoes,Rice (medium grain),Rice (red),Eggs,"Fish (dry, katta)","Fish (dry, sprats)",Lentils,Bananas,Onions (imported),Papaya,Pineapples,Fish (goldstripe sardinella),Fish (jack),Fish (sail fish),Fish (skipjack tuna),Fish (trenched sardinella),Fish (yellowfin tuna),"Meat (chicken, fresh)",Oil (coconut),Onions (red),"Cowpeas (whole, average)",m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Western,Colombo,Economic Centre-Pettah,6.934423,79.853116,1100.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Western,Colombo,Economic Centre-Pettah,6.934423,79.853116,600.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Western,Colombo,Economic Centre-Pettah,6.934423,79.853116,550.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Western,Colombo,Economic Centre-Pettah,6.934423,79.853116,442.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Western,Colombo,Economic Centre-Pettah,6.934423,79.853116,402.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Western,Colombo,Economic Centre-Pettah,6.934423,79.853116,134.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Western,Colombo,Economic Centre-Pettah,6.934423,79.853116,126.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Western,Colombo,Economic Centre-Pettah,6.934423,79.853116,251.58,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Western,Colombo,Economic Centre-Pettah,6.934423,79.853116,215.25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Western,Colombo,Economic Centre-Pettah,6.934423,79.853116,148.75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
